,Land_area_km2,Coastline_km,EEZ_Area,Shelf_Area,Inshore_fishing_area,Coral_reefs,Seamounts,Primary_production,MPA_km2,PA_terrestrial_km2,Pop,Total_spp,Region
American Samoa,200,116,404367,552,490,0.07,0.23,184.27,35458,33,65000,1356,Polynesia
Cook Islands,237,120,1960027,1213,1213,0.37,0.89,198.15,1981970,67,13500,1065,Polynesia
Fiji,18272,4637,1281703,43264,43264,3.05,0.87,263.24,11959,1037,831600,2127,Melanesia
French Polynesia,3521,3521,4771088,27653,26469,1.68,3.73,212.12,207,74,261400,1505,Polynesia
Guam,541,126,221899,395,216,0.04,0.34,174.5,18,126,172300,1378,Micronesia
Kiribati,811,1143,3437132,7077,6213,1.1,2.25,995.68,410221,231,95500,1405,Micronesia
Marshall Islands,181,370,1992022,20891,20561,2.44,1.65,224.63,5388,34,84700,1484,Micronesia
Micronesia (FSM),701,200,2992415,26076,16587,1.54,2.17,242.44,475,0,110600,1904,Micronesia
Nauru,21,30,308506,13,13,0.01,0.05,421.54,0,0,9900,1143,Micronesia
New Caledonia,18576,2254,1422596,52754,36464,2.15,0.75,294.04,1321626,10414,241700,2529,Melanesia
Niue,259,64,316584,284,70,0.05,0.11,159,37,53,1600,913,Polynesia
Northern Mariana Islands  ,471,1482,748867,1004,825,0.01,1.24,186.84,257173,38,84700,1393,Micronesia
Palau,488,1519,604253,3467,2990,0.36,0.87,250.85,504705,140,20200,2107,Micronesia
Papua New Guinea,462840,20197,2396575,186819,146250,4.74,1.16,364.49,4586,14330,6332750,4460,Melanesia
Pitcairn,47,51,836103,155,29,0.02,0.28,125.55,839569,37,49,532,Polynesia
Samoa,2935,2935,131535,2234,2004,0.14,0.09,195.59,115,213,179500,1473,Polynesia
Solomon Islands,28370,9880,1596464,33196,29737,1.67,1.45,265.4,1900,645,503900,2538,Melanesia
Tokelau,12,101,319049,279,279,0.08,0.26,224.47,10,1,1200,933,Polynesia
Tonga,650,419,664751,8588,7760,0.49,0.49,217.86,10055,122,102300,1486,Polynesia
Tuvalu,26,24,751672,4449,1414,0.35,0.52,215.76,62,1,9700,1228,Polynesia
Vanuatu,12190,2528,827626,8681,8233,0.78,0.32,294.29,48,528,227150,1955,Melanesia
Wallis and Futuna,181,129,258270,2265,483,0.22,0.36,195.7,0,0,11700,1294,Polynesia
